expiry,T,n,a,b,rho,m,s,rmse_vol_bp
2026-08-11,0.02190280629705681,132,-0.002600276198205297,0.030768567316221802,-0.8258008841481465,-0.11326293071337429,0.1498519940261861,18.82922380018764
2026-08-12,0.024640657084188913,145,-0.015388160564011367,0.055994453003061995,-0.5056078861552775,-0.1321111228173366,0.32213725287284545,27.625728224648523
2026-08-13,0.02737850787132101,135,-0.08671140900669813,0.11937979595312757,-0.004231702512656808,0.04124031145994489,0.7285136458523451,33.66362271791719
2026-08-14,0.030116358658453114,186,-0.039084274168266125,0.08373133686661685,-5.44624231518766e-21,0.043674266176184154,0.4704491063321294,34.73109659869045
2026-08-17,0.038329911019849415,139,-0.04183834623791996,0.08679338787358588,-0.010946034659161675,0.04424299187105116,0.48590528843266645,27.09702730007246
2026-08-18,0.04106776180698152,140,-0.013230820687874489,0.05572456350634088,7.472356526367153e-20,0.038116938793989905,0.24518124047007467,35.35349145836354
2026-08-19,0.04380561259411362,144,-0.01009026824704046,0.05180742229521185,-4.525175540034481e-19,0.03562332405416914,0.20409463613921938,37.55499585741051
2026-08-20,0.04654346338124572,132,-0.015057544527891278,0.060616311748728724,-3.310957658085362e-20,0.04228315766628962,0.25692314759675255,31.42614554889491
2026-08-21,0.049281314168377825,253,-0.01864958326661512,0.06683488273752229,-4.072548240329556e-20,0.04466446675701269,0.286873614098164,25.64626362734872
2026-08-24,0.057494866529774126,111,-0.01667936451053969,0.06613373891397423,4.799948818818727e-20,0.044540279114408346,0.26130847023364245,29.90175820893264
2026-08-25,0.06023271731690623,116,-0.01650606036835923,0.06674992605363202,7.092682935730252e-21,0.04608860480881803,0.256864515508136,27.371487154008747
2026-08-26,0.06297056810403832,118,-0.01296559274930314,0.06383225730578553,1.0100878541510648e-19,0.039134926498300165,0.21457415449793824,35.97607782932354
2026-08-27,0.06570841889117043,108,-0.014238246326169268,0.06578786784743736,-2.3591997658331858e-20,0.04594563754472833,0.2284923709339585,27.83475360870136
2026-08-28,0.06844626967830253,180,-0.01259725349048396,0.06561214893427078,6.698806740133608e-20,0.04143521291325477,0.20533632598842966,36.44057764173091
2026-08-31,0.07665982203969883,343,-0.014207957458265814,0.06952339533742354,-5.763219042709027e-20,0.04323696954470439,0.21804507076585783,34.8968506099913
2026-09-01,0.07939767282683094,99,-0.01586517508185457,0.07208290071479603,-6.019040346704615e-20,0.04865178505823311,0.23428695116042264,29.22988305812674
2026-09-02,0.08213552361396304,105,-0.013080703695922999,0.06940445959946791,-6.519137489619465e-20,0.04434219045733877,0.20364578524284613,34.206169831425576
2026-09-03,0.08487337440109514,94,-0.01711014472707622,0.07577361660549288,6.24032655049145e-20,0.05155925543579333,0.2410251716612056,25.422970316172243
2026-09-04,0.08761122518822724,140,-0.01599588999603604,0.07572604954744416,7.170658233481845e-20,0.04953264190152721,0.2266188049310218,28.875271605826313
2026-09-08,0.09856262833675565,56,-0.02030830399493516,0.08209006599866711,-1.0620655174737165e-19,0.05673154468249853,0.2625499728304283,25.935969948398178
2026-09-09,0.10130047912388775,47,-0.019378023388081016,0.07446319766574203,-0.10629347286088958,0.045128586278793945,0.27724434584091967,11.201601809054061
2026-09-11,0.10677618069815195,98,-0.020957218253723327,0.08597234289472529,-8.609440768575123e-20,0.05800840701879162,0.25957992691604026,24.357094131445557
2026-09-14,0.11498973305954825,57,-0.018127939258756238,0.08392094743785108,-7.959997596095192e-20,0.05363848825196517,0.23304434148544648,27.760985248291973
2026-09-18,0.12594113620807665,315,-0.0222897304406499,0.0917256633134057,-1.257368600031232e-19,0.06308335912971721,0.2603782403978549,20.159771418162446
2026-09-30,0.15879534565366188,442,-0.028155106004035688,0.10606019495987254,-9.51790410580494e-20,0.06941885628734155,0.28519122967165744,24.86060896146359
2026-10-16,0.2026009582477755,284,-0.04161778100883949,0.12757720111689178,4.16440046886911e-20,0.08715230123326571,0.347058621984539,22.749845146653442
2026-10-30,0.24093086926762491,369,-0.05189352479180474,0.14401313332108903,-2.246622185519239e-19,0.0960242559167952,0.3836234340395245,29.64495051751736
2026-11-20,0.29842573579739906,249,-0.10911586020446387,0.18913909348063818,2.6819937366215745e-19,0.13169442887523458,0.598848965926573,45.97615000076611
2026-11-30,0.3258042436687201,153,-0.06907053372477769,0.16858847547599423,-9.498658288142484e-20,0.11577058846439742,0.4368029026964844,28.215952495128818
2026-12-18,0.3750855578370979,270,-0.15138301775796698,0.2227183208725107,-4.485814826461097e-19,0.152723534204872,0.7040136050450405,47.05656892709814
2026-12-31,0.4106776180698152,426,-0.0998421195280172,0.19995863766844843,3.236376591753109e-20,0.13943796458824656,0.5290860928692668,32.43424545402892
2027-01-15,0.4517453798767967,180,-0.1359831126885929,0.22619181308377012,-1.7764518169278298e-19,0.1532079538481949,0.6305864143963819,32.22054351792904
2027-01-29,0.49007529089664614,146,-0.12537015004346283,0.2175713797085412,-0.020209175604810878,0.16043381207310015,0.606999159984858,23.773461583225217
2027-02-19,0.5475701574264202,184,-0.17233557204272262,0.2523018951461356,-3.288577750811079e-20,0.17841301382155442,0.7155106659749029,32.01888147112765
2027-03-19,0.6242299794661191,183,-0.17775446718349205,0.26179057700786124,9.535178620440073e-20,0.18908541332082926,0.7161797630873294,31.033483895714568
2027-03-31,0.6570841889117043,365,-0.14748658725888172,0.24614720416701136,6.085969878457743e-20,0.195889674850662,0.6390427238134236,25.36412370511478
2027-04-16,0.7008898015058179,180,-0.19637167913207587,0.2740943278672951,1.801713808803944e-19,0.21108513747671342,0.7555935085371068,28.069214201655395
2027-05-21,0.7967145790554415,178,-0.18309796695986774,0.27774394245093886,-1.453037486314755e-19,0.21060107364088496,0.7065244340815188,31.138337343622748
2027-06-17,0.8706365503080082,193,-0.18467974497908102,0.2824360657908795,2.823676099313265e-19,0.22190057594025875,0.7051926204774072,26.9652239886361
2027-06-30,0.9062286105407256,313,-0.16171792081557104,0.2538479815620399,-0.07122898243991962,0.21003336615045956,0.6942706579600245,23.93662858612476
2027-07-16,0.9500342231348392,173,-0.14973470819144624,0.26714848517895706,6.562153549383347e-21,0.22729437606577574,0.6200241244489263,25.115294333578724
2027-08-20,1.0458590006844628,180,-0.14226291323138168,0.2628521792468536,-0.030597817208005383,0.22172856405248095,0.6100821969102522,25.864030271886538
2027-09-17,1.1225188227241616,186,-0.18301964673711527,0.29585254217794366,-4.4937685197360185e-20,0.2452872503170871,0.68625487314598,28.977162158993
2027-12-17,1.3716632443531827,134,-0.2125051445264548,0.31886588184255255,6.970701119550223e-20,0.2775704874271975,0.7467510415887482,31.513003968965005
2028-06-16,1.8699520876112252,184,-0.10128741458690922,0.28002740065939885,3.708110689407556e-19,0.2959185063237372,0.4906249873182775,23.117719373788454
2028-12-15,2.3682409308692676,131,-0.2351119925381031,0.360752803409971,-3.729172936811862e-19,0.3668563608490516,0.7854360821224549,37.09965506192307
2029-12-21,3.383983572895277,76,-0.12925764655162394,0.1977090132446821,-0.7566870959389295,0.2849011125985771,0.9999999977084305,20.38325080918027
2030-12-20,4.380561259411362,46,0.1053127009466764,0.1324023997733767,-0.9990000000000077,0.20325300268610447,0.03979458616135569,8.401532221761963
